City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,inderka,53.2485,46.2582,268.88,94,100,3.72,RU,1675220212
348,port hawkesbury,45.6169,-61.3485,268.92,69,20,7.72,CA,1675220212
349,murray bridge,-35.1167,139.2667,290.44,64,84,7.01,AU,1675219969
350,alihe,50.5667,123.7167,260.64,62,34,3.64,CN,1675220213
351,kurtamysh,54.9103,64.4319,260.24,90,96,3.2,RU,1675220213
352,zlynka,52.4267,31.7378,270.5,97,83,2.73,RU,1675220214
353,lander,42.833,-108.7307,273.48,70,0,1.54,US,1675220214
354,kunashak,55.7032,61.5498,268.44,91,80,2.27,RU,1675220214
355,boguchany,58.3814,97.4531,260.62,96,100,0.94,RU,1675220215
356,antanifotsy,-19.65,47.3167,289.23,99,100,0.77,MG,1675220215
357,bacolod,10.6667,122.95,302.57,70,47,5.28,PH,1675220216
358,dhidhdhoo,6.8833,73.1,300.09,73,100,5.52,MV,1675220216
359,hokitika,-42.7167,170.9667,291.96,91,100,1.6,NZ,1675220216
360,imbituba,-28.24,-48.6703,295.9,85,5,2.1,BR,1675220217
361,hue,16.4667,107.6,296.21,78,40,1.03,VN,1675220217
362,zemio,5.0314,25.1361,294.72,31,9,0.85,CF,1675220218
363,ahmadpur east,29.1431,71.2598,286.63,48,0,2.38,PK,1675220218
364,alice springs,-23.7,133.8833,298.9,61,100,4.63,AU,1675219938
365,marsh harbour,26.5412,-77.0636,296.67,75,3,3.6,BS,1675220071
366,hay river,60.8156,-115.7999,248.14,77,75,3.09,CA,1675220084
367,yokadouma,3.5167,15.05,293.63,62,14,0.24,CM,1675220219
368,salinopolis,-0.6136,-47.3561,297.38,92,99,0.91,BR,1675220219
